Game,Season,Round,Venue,Attendance,Home Team,Away Team,Latitude,Longitude
2015R2202,2015,R22,GIANTS Stadium,9538,Greater Western Sydney,Carlton,-33.8942,151.2293
2015R2203,2015,R22,University of Tasmania Stadium,11731,Hawthorn,Brisbane Lions,-41.426,147.139
2015R2207,2015,R22,Adelaide Oval,52460,Adelaide,West Coast,-34.9155,138.5961
2015R2208,2015,R22,Marvel Stadium,27856,St Kilda,Sydney,-37.8166,144.9475
2015R2209,2015,R22,Domain Stadium,33529,Fremantle,Melbourne,-31.94,115.825
2015R2301,2015,R23,Marvel Stadium,40461,Richmond,North Melbourne,-37.8166,144.9475
2015R2304,2015,R23,Adelaide Oval,37922,Port Adelaide,Fremantle,-34.9155,138.5961
2015R2307,2015,R23,Domain Stadium,36165,West Coast,St Kilda,-31.94,115.825
2015R2303,2015,R23,The Gabba,15434,Brisbane Lions,Western Bulldogs,-27.4858,153.0381
2015R2302,2015,R23,GMHBA Stadium,26128,Geelong,Adelaide,-38.158,144.3547
2015R2305,2015,R23,Melbourne Cricket Ground,33182,Hawthorn,Carlton,-37.82,144.9834
2015R2306,2015,R23,Sydney Cricket Ground,25424,Sydney,Gold Coast,-33.8915,151.2249
2015R2308,2015,R23,Marvel Stadium,8974,Melbourne,Greater Western Sydney,-37.8166,144.9475
2015R2309,2015,R23,Melbourne Cricket Ground,40270,Collingwood,Essendon,-37.82,144.9834
2015QF01,2015,QF,Domain Stadium,42663,West Coast,Hawthorn,-31.94,115.825
2015QF02,2015,QF,Domain Stadium,40071,Fremantle,Sydney,-31.94,115.825
2015EF01,2015,EF,Melbourne Cricket Ground,60872,Western Bulldogs,Adelaide,-37.82,144.9834
2015EF02,2015,EF,Melbourne Cricket Ground,90186,Richmond,North Melbourne,-37.82,144.9834
2015SF01,2015,SF,Melbourne Cricket Ground,70879,Hawthorn,Adelaide,-37.82,144.9834
2015SF02,2015,SF,Accor Stadium,31162,Sydney,North Melbourne,-33.8471,151.0634
2015PF01,2015,PF,Domain Stadium,41508,Fremantle,Hawthorn,-31.94,115.825
2015PF02,2015,PF,Domain Stadium,43080,West Coast,North Melbourne,-31.94,115.825
2015GF01,2015,GF,Melbourne Cricket Ground,98632,West Coast,Hawthorn,-37.82,144.9834
2016R101,2016,R1,Melbourne Cricket Ground,75706,Richmond,Carlton,-37.82,144.9834
2016R103,2016,R1,Heritage Bank Stadium,16239,Gold Coast,Essendon,-28.0063,153.3671
2016R104,2016,R1,Marvel Stadium,25485,North Melbourne,Adelaide,-37.8166,144.9475
2016R102,2016,R1,Melbourne Cricket Ground,28505,Melbourne,Greater Western Sydney,-37.82,144.9834
2016R105,2016,R1,Sydney Cricket Ground,33857,Sydney,Collingwood,-33.8915,151.2249
2016R107,2016,R1,Adelaide Oval,42896,Port Adelaide,St Kilda,-34.9155,138.5961
2016R106,2016,R1,Marvel Stadium,27832,Western Bulldogs,Fremantle,-37.8166,144.9475
2016R108,2016,R1,Domain Stadium,35201,West Coast,Brisbane Lions,-31.94,115.825
2016R109,2016,R1,Melbourne Cricket Ground,74218,Geelong,Hawthorn,-37.82,144.9834
2016R201,2016,R2,Melbourne Cricket Ground,72761,Collingwood,Richmond,-37.82,144.9834
2016R202,2016,R2,Adelaide Oval,50555,Adelaide,Port Adelaide,-34.9155,138.5961
2016R205,2016,R2,Marvel Stadium,37353,St Kilda,Western Bulldogs,-37.8166,144.9475
2016R206,2016,R2,Domain Stadium,34208,Fremantle,Gold Coast,-31.94,115.825
2016R204,2016,R2,The Gabba,18021,Brisbane Lions,North Melbourne,-27.4858,153.0381
2016R203,2016,R2,Melbourne Cricket Ground,50424,Essendon,Melbourne,-37.82,144.9834
2016R209,2016,R2,Marvel Stadium,33146,Carlton,Sydney,-37.8166,144.9475
2016R208,2016,R2,Melbourne Cricket Ground,42977,Hawthorn,West Coast,-37.82,144.9834
2016R207,2016,R2,Manuka Oval,13656,Greater Western Sydney,Geelong,-35.3181,149.1347
2016R301,2016,R3,Adelaide Oval,43663,Port Adelaide,Essendon,-34.9155,138.5961
2016R305,2016,R3,Heritage Bank Stadium,13885,Gold Coast,Carlton,-28.0063,153.3671
2016R303,2016,R3,Marvel Stadium,29951,Richmond,Adelaide,-37.8166,144.9475
2016R306,2016,R3,Domain Stadium,40555,West Coast,Fremantle,-31.94,115.825
2016R302,2016,R3,Melbourne Cricket Ground,50903,St Kilda,Collingwood,-37.82,144.9834
2016R304,2016,R3,Sydney Cricket Ground,37045,Sydney,Greater Western Sydney,-33.8915,151.2249
2016R307,2016,R3,Blundstone Arena,12607,North Melbourne,Melbourne,-42.8773,147.374
2016R308,2016,R3,Marvel Stadium,46808,Western Bulldogs,Hawthorn,-37.8166,144.9475
2016R309,2016,R3,GMHBA Stadium,23320,Geelong,Brisbane Lions,-38.158,144.3547
2016R401,2016,R4,Domain Stadium,38860,West Coast,Richmond,-31.94,115.825
2016R406,2016,R4,Adelaide Oval,50369,Adelaide,Sydney,-34.9155,138.5961
2016R405,2016,R4,Marvel Stadium,27622,Carlton,Western Bulldogs,-37.8166,144.9475
2016R404,2016,R4,The Gabba,20041,Brisbane Lions,Gold Coast,-27.4858,153.0381
2016R402,2016,R4,Melbourne Cricket Ground,42723,Essendon,Geelong,-37.82,144.9834
2016R403,2016,R4,University of Tasmania Stadium,17052,Hawthorn,St Kilda,-41.426,147.139
2016R409,2016,R4,Marvel Stadium,23393,North Melbourne,Fremantle,-37.8166,144.9475
2016R408,2016,R4,Melbourne Cricket Ground,47558,Collingwood,Melbourne,-37.82,144.9834
2016R407,2016,R4,Manuka Oval,10028,Greater Western Sydney,Port Adelaide,-35.3181,149.1347
2016R501,2016,R5,Melbourne Cricket Ground,45781,Hawthorn,Adelaide,-37.82,144.9834
2016R505,2016,R5,Adelaide Oval,43984,Port Adelaide,Geelong,-34.9155,138.5961
2016R503,2016,R5,Heritage Bank Stadium,13351,Gold Coast,North Melbourne,-28.0063,153.3671
2016R504,2016,R5,Marvel Stadium,25097,Western Bulldogs,Brisbane Lions,-37.8166,144.9475
2016R502,2016,R5,Sydney Cricket Ground,35427,Sydney,West Coast,-33.8915,151.2249
2016R506,2016,R5,Marvel Stadium,21052,St Kilda,Greater Western Sydney,-37.8166,144.9475
2016R507,2016,R5,Domain Stadium,34796,Fremantle,Carlton,-31.94,115.825
2016R508,2016,R5,Melbourne Cricket Ground,60867,Melbourne,Richmond,-37.82,144.9834
2016R509,2016,R5,Melbourne Cricket Ground,85082,Collingwood,Essendon,-37.82,144.9834
2016R601,2016,R6,Marvel Stadium,47622,North Melbourne,Western Bulldogs,-37.8166,144.9475
2016R603,2016,R6,Adelaide Oval,46431,Adelaide,Fremantle,-34.9155,138.5961
2016R602,2016,R6,Marvel Stadium,27260,Melbourne,St Kilda,-37.8166,144.9475
2016R605,2016,R6,GMHBA Stadium,23007,Geelong,Gold Coast,-38.158,144.3547
2016R606,2016,R6,Melbourne Cricket Ground,27077,Richmond,Port Adelaide,-37.82,144.9834
2016R604,2016,R6,GIANTS Stadium,13766,Greater Western Sydney,Hawthorn,-33.8942,151.2293
2016R609,2016,R6,Domain Stadium,37931,West Coast,Collingwood,-31.94,115.825
