Game,Season,Round,Venue,Attendance,Home Team,Away Team,Latitude,Longitude
2012R101,2012,R1,Accor Stadium,38203,Greater Western Sydney,Sydney,-33.8471,151.0634
2012R102,2012,R1,Melbourne Cricket Ground,78285,Richmond,Carlton,-37.82,144.9834
2012R103,2012,R1,Melbourne Cricket Ground,78466,Hawthorn,Collingwood,-37.82,144.9834
2012R105,2012,R1,Heritage Bank Stadium,12790,Gold Coast,Adelaide,-28.0063,153.3671
2012R107,2012,R1,Marvel Stadium,45818,North Melbourne,Essendon,-37.8166,144.9475
2012R106,2012,R1,Domain Stadium,34601,Fremantle,Geelong,-31.94,115.825
2012R104,2012,R1,Melbourne Cricket Ground,33473,Melbourne,Brisbane Lions,-37.82,144.9834
2012R109,2012,R1,AAMI Stadium,21179,Port Adelaide,St Kilda,-34.8747,138.4907
2012R108,2012,R1,Marvel Stadium,24977,Western Bulldogs,West Coast,-37.8166,144.9475
2012R201,2012,R2,The Gabba,25913,Brisbane Lions,Carlton,-27.4858,153.0381
2012R205,2012,R2,AAMI Stadium,34021,Adelaide,Western Bulldogs,-34.8747,138.4907
2012R202,2012,R2,Marvel Stadium,34118,Essendon,Port Adelaide,-37.8166,144.9475
2012R204,2012,R2,Domain Stadium,35674,West Coast,Melbourne,-31.94,115.825
2012R206,2012,R2,Melbourne Cricket Ground,57268,Collingwood,Richmond,-37.82,144.9834
2012R203,2012,R2,Sydney Cricket Ground,22242,Sydney,Fremantle,-33.8915,151.2249
2012R207,2012,R2,Blundstone Arena,11127,North Melbourne,Greater Western Sydney,-42.8773,147.374
2012R208,2012,R2,Marvel Stadium,21078,St Kilda,Gold Coast,-37.8166,144.9475
2012R209,2012,R2,Melbourne Cricket Ground,69231,Geelong,Hawthorn,-37.82,144.9834
2012R301,2012,R3,Melbourne Cricket Ground,84259,Carlton,Collingwood,-37.82,144.9834
2012R303,2012,R3,AAMI Stadium,19032,Port Adelaide,Sydney,-34.8747,138.4907
2012R305,2012,R3,Heritage Bank Stadium,17069,Gold Coast,Essendon,-28.0063,153.3671
2012R306,2012,R3,Marvel Stadium,28971,Western Bulldogs,St Kilda,-37.8166,144.9475
2012R304,2012,R3,Domain Stadium,33473,Fremantle,Brisbane Lions,-31.94,115.825
2012R302,2012,R3,Melbourne Cricket Ground,49826,Richmond,Melbourne,-37.82,144.9834
2012R307,2012,R3,Blacktown,6875,Greater Western Sydney,West Coast,33.7695,150.8522
2012R309,2012,R3,Marvel Stadium,29630,North Melbourne,Geelong,-37.8166,144.9475
2012R308,2012,R3,Melbourne Cricket Ground,33524,Hawthorn,Adelaide,-37.82,144.9834
2012R401,2012,R4,Marvel Stadium,30172,St Kilda,Fremantle,-37.8166,144.9475
2012R404,2012,R4,AAMI Stadium,28261,Adelaide,Greater Western Sydney,-34.8747,138.4907
2012R403,2012,R4,Marvel Stadium,30741,Collingwood,Port Adelaide,-37.8166,144.9475
2012R405,2012,R4,Domain Stadium,40080,West Coast,Hawthorn,-31.94,115.825
2012R406,2012,R4,The Gabba,21980,Brisbane Lions,Gold Coast,-27.4858,153.0381
2012R402,2012,R4,Melbourne Cricket Ground,73172,Carlton,Essendon,-37.82,144.9834
2012R407,2012,R4,GMHBA Stadium,21952,Geelong,Richmond,-38.158,144.3547
2012R409,2012,R4,Melbourne Cricket Ground,33565,Melbourne,Western Bulldogs,-37.82,144.9834
2012R408,2012,R4,Sydney Cricket Ground,21049,Sydney,North Melbourne,-33.8915,151.2249
2012R501,2012,R5,Melbourne Cricket Ground,86932,Collingwood,Essendon,-37.82,144.9834
2012R502,2012,R5,Domain Stadium,38847,Fremantle,Carlton,-31.94,115.825
2012R504,2012,R5,Marvel Stadium,17680,North Melbourne,Gold Coast,-37.8166,144.9475
2012R506,2012,R5,The Gabba,15534,Brisbane Lions,Geelong,-27.4858,153.0381
2012R505,2012,R5,Melbourne Cricket Ground,24877,Melbourne,St Kilda,-37.82,144.9834
2012R503,2012,R5,Manuka Oval,9128,Greater Western Sydney,Western Bulldogs,-35.3181,149.1347
2012R509,2012,R5,AAMI Stadium,41649,Adelaide,Port Adelaide,-34.8747,138.4907
2012R508,2012,R5,Marvel Stadium,28464,Richmond,West Coast,-37.8166,144.9475
2012R507,2012,R5,University of Tasmania Stadium,19217,Hawthorn,Sydney,-41.426,147.139
2012R601,2012,R6,Marvel Stadium,38155,Western Bulldogs,Collingwood,-37.8166,144.9475
2012R604,2012,R6,Heritage Bank Stadium,11670,Gold Coast,Fremantle,-28.0063,153.3671
2012R602,2012,R6,Marvel Stadium,36361,Essendon,Brisbane Lions,-37.8166,144.9475
2012R603,2012,R6,GMHBA Stadium,18010,Geelong,Melbourne,-38.158,144.3547
2012R606,2012,R6,Melbourne Cricket Ground,42290,St Kilda,Hawthorn,-37.82,144.9834
2012R605,2012,R6,Sydney Cricket Ground,23969,Sydney,Adelaide,-33.8915,151.2249
2012R608,2012,R6,AAMI Stadium,18522,Port Adelaide,Richmond,-34.8747,138.4907
2012R607,2012,R6,Marvel Stadium,28213,Carlton,Greater Western Sydney,-37.8166,144.9475
2012R609,2012,R6,Domain Stadium,37202,West Coast,North Melbourne,-31.94,115.825
2012R701,2012,R7,Melbourne Cricket Ground,36430,Melbourne,Hawthorn,-37.82,144.9834
2012R702,2012,R7,AAMI Stadium,35535,Adelaide,Geelong,-34.8747,138.4907
2012R706,2012,R7,Marvel Stadium,43260,Essendon,West Coast,-37.8166,144.9475
2012R705,2012,R7,The Gabba,27926,Brisbane Lions,Collingwood,-27.4858,153.0381
2012R704,2012,R7,Melbourne Cricket Ground,40352,Richmond,Sydney,-37.82,144.9834
2012R703,2012,R7,Manuka Oval,8603,Greater Western Sydney,Gold Coast,-35.3181,149.1347
2012R707,2012,R7,Marvel Stadium,20885,North Melbourne,Western Bulldogs,-37.8166,144.9475
2012R708,2012,R7,Domain Stadium,30079,Fremantle,Port Adelaide,-31.94,115.825
2012R709,2012,R7,Marvel Stadium,38823,St Kilda,Carlton,-37.8166,144.9475
2012R801,2012,R8,Melbourne Cricket Ground,75650,Collingwood,Geelong,-37.82,144.9834
2012R802,2012,R8,AAMI Stadium,14508,Port Adelaide,North Melbourne,-34.8747,138.4907
2012R806,2012,R8,Melbourne Cricket Ground,80900,Essendon,Richmond,-37.82,144.9834
2012R805,2012,R8,TIO Stadium,8724,Western Bulldogs,Gold Coast,-12.3988,130.8853
2012R804,2012,R8,Sydney Cricket Ground,20818,Sydney,Melbourne,-33.8915,151.2249
2012R803,2012,R8,University of Tasmania Stadium,12959,Hawthorn,Fremantle,-41.426,147.139
2012R808,2012,R8,Marvel Stadium,35917,Carlton,Adelaide,-37.8166,144.9475
2012R809,2012,R8,Domain Stadium,38174,West Coast,St Kilda,-31.94,115.825
2012R807,2012,R8,The Gabba,16049,Brisbane Lions,Greater Western Sydney,-27.4858,153.0381
2012R901,2012,R9,Marvel Stadium,29118,Western Bulldogs,Geelong,-37.8166,144.9475
2012R905,2012,R9,AAMI Stadium,44238,Adelaide,Collingwood,-34.8747,138.4907
2012R903,2012,R9,Heritage Bank Stadium,12416,Gold Coast,Port Adelaide,-28.0063,153.3671
2012R904,2012,R9,Marvel Stadium,34737,St Kilda,Sydney,-37.8166,144.9475
2012R902,2012,R9,Melbourne Cricket Ground,51617,Richmond,Hawthorn,-37.82,144.9834
2012R906,2012,R9,GIANTS Stadium,11887,Greater Western Sydney,Essendon,-33.8942,151.2293
2012R907,2012,R9,Marvel Stadium,19988,North Melbourne,Brisbane Lions,-37.8166,144.9475
2012R909,2012,R9,Domain Stadium,40905,West Coast,Fremantle,-31.94,115.825
2012R908,2012,R9,Melbourne Cricket Ground,28371,Carlton,Melbourne,-37.82,144.9834
2012R1001,2012,R10,Marvel Stadium,49337,St Kilda,Richmond,-37.8166,144.9475
2012R1005,2012,R10,AAMI Stadium,24746,Port Adelaide,Carlton,-34.8747,138.4907
2012R1004,2012,R10,Domain Stadium,31392,Fremantle,Adelaide,-31.94,115.825
2012R1002,2012,R10,GMHBA Stadium,17243,Geelong,Greater Western Sydney,-38.158,144.3547
2012R1006,2012,R10,Melbourne Cricket Ground,42987,Essendon,Melbourne,-37.82,144.9834
2012R1003,2012,R10,University of Tasmania Stadium,16143,Hawthorn,North Melbourne,-41.426,147.139
2012R1007,2012,R10,The Gabba,15546,Brisbane Lions,West Coast,-27.4858,153.0381
2012R1009,2012,R10,Melbourne Cricket Ground,36913,Collingwood,Gold Coast,-37.82,144.9834
2012R1008,2012,R10,Sydney Cricket Ground,13505,Sydney,Western Bulldogs,-33.8915,151.2249
2012R1101,2012,R11,Marvel Stadium,47632,Carlton,Geelong,-37.8166,144.9475
2012R1103,2012,R11,Heritage Bank Stadium,12534,Gold Coast,St Kilda,-28.0063,153.3671
2012R1104,2012,R11,Marvel Stadium,42785,Essendon,Sydney,-37.8166,144.9475
2012R1102,2012,R11,Melbourne Cricket Ground,43801,Richmond,Fremantle,-37.82,144.9834
2012R1105,2012,R11,AAMI Stadium,26638,Port Adelaide,Hawthorn,-34.8747,138.4907
2012R1106,2012,R11,Melbourne Cricket Ground,64250,Melbourne,Collingwood,-37.82,144.9834
2012R1201,2012,R12,Domain Stadium,34224,West Coast,Carlton,-31.94,115.825
2012R1202,2012,R12,AAMI Stadium,36394,Adelaide,St Kilda,-34.8747,138.4907
2012R1204,2012,R12,Heritage Bank Stadium,10170,Gold Coast,North Melbourne,-28.0063,153.3671
2012R1203,2012,R12,GIANTS Stadium,7538,Greater Western Sydney,Richmond,-33.8942,151.2293
2012R1206,2012,R12,Marvel Stadium,16036,Western Bulldogs,Port Adelaide,-37.8166,144.9475
2012R1205,2012,R12,Melbourne Cricket Ground,35492,Hawthorn,Brisbane Lions,-37.82,144.9834
2012R1301,2012,R13,Sydney Cricket Ground,27400,Sydney,Geelong,-33.8915,151.2249
2012R1302,2012,R13,Marvel Stadium,20146,Western Bulldogs,Brisbane Lions,-37.8166,144.9475
2012R1304,2012,R13,Domain Stadium,34567,Fremantle,Essendon,-31.94,115.825
2012R1303,2012,R13,Melbourne Cricket Ground,62957,Collingwood,West Coast,-37.82,144.9834
2012R1306,2012,R13,Marvel Stadium,18866,North Melbourne,Adelaide,-37.8166,144.9475
2012R1305,2012,R13,Melbourne Cricket Ground,20070,Melbourne,Greater Western Sydney,-37.82,144.9834
2012R1401,2012,R14,Melbourne Cricket Ground,65047,Carlton,Hawthorn,-37.82,144.9834
2012R1403,2012,R14,AAMI Stadium,33780,Adelaide,Richmond,-34.8747,138.4907
2012R1406,2012,R14,Accor Stadium,22565,Sydney,Greater Western Sydney,-33.8471,151.0634
2012R1405,2012,R14,Marvel Stadium,40824,Essendon,Western Bulldogs,-37.8166,144.9475
2012R1404,2012,R14,Domain Stadium,34592,West Coast,Gold Coast,-31.94,115.825
2012R1402,2012,R14,Melbourne Cricket Ground,44891,Collingwood,Fremantle,-37.82,144.9834
2012R1409,2012,R14,Marvel Stadium,33106,St Kilda,North Melbourne,-37.8166,144.9475
2012R1408,2012,R14,The Gabba,22144,Brisbane Lions,Melbourne,-27.4858,153.0381
2012R1407,2012,R14,GMHBA Stadium,13736,Geelong,Port Adelaide,-38.158,144.3547
2012R1501,2012,R15,Melbourne Cricket Ground,75890,Collingwood,Carlton,-37.82,144.9834
2012R1505,2012,R15,AAMI Stadium,34829,Port Adelaide,Adelaide,-34.8747,138.4907
2012R1502,2012,R15,Blundstone Arena,14113,North Melbourne,West Coast,-42.8773,147.374
2012R1506,2012,R15,Marvel Stadium,45838,St Kilda,Essendon,-37.8166,144.9475
2012R1503,2012,R15,Melbourne Cricket Ground,46773,Melbourne,Richmond,-37.82,144.9834
2012R1504,2012,R15,Sydney Cricket Ground,19419,Sydney,Brisbane Lions,-33.8915,151.2249
2012R1508,2012,R15,Heritage Bank Stadium,15824,Gold Coast,Geelong,-28.0063,153.3671
2012R1509,2012,R15,Domain Stadium,30420,Fremantle,Western Bulldogs,-31.94,115.825
2012R1507,2012,R15,Melbourne Cricket Ground,26518,Hawthorn,Greater Western Sydney,-37.82,144.9834
2012R1601,2012,R16,Marvel Stadium,46423,North Melbourne,Carlton,-37.8166,144.9475
2012R1603,2012,R16,AAMI Stadium,17344,Port Adelaide,Essendon,-34.8747,138.4907
2012R1604,2012,R16,Cazaly's Stadium,10961,Richmond,Gold Coast,-16.9357,145.7491
2012R1602,2012,R16,Marvel Stadium,13284,Melbourne,Fremantle,-37.8166,144.9475
2012R1606,2012,R16,The Gabba,19228,Brisbane Lions,St Kilda,-27.4858,153.0381
2012R1605,2012,R16,Melbourne Cricket Ground,61717,Geelong,Collingwood,-37.82,144.9834
2012R1608,2012,R16,Marvel Stadium,24754,Western Bulldogs,Hawthorn,-37.8166,144.9475
2012R1609,2012,R16,Domain Stadium,39152,West Coast,Sydney,-31.94,115.825
2012R1607,2012,R16,GIANTS Stadium,7669,Greater Western Sydney,Adelaide,-33.8942,151.2293
2012R1701,2012,R17,Marvel Stadium,50066,Geelong,Essendon,-37.8166,144.9475
2012R1703,2012,R17,AAMI Stadium,40724,Adelaide,West Coast,-34.8747,138.4907
2012R1704,2012,R17,Heritage Bank Stadium,16550,Gold Coast,Brisbane Lions,-28.0063,153.3671
2012R1706,2012,R17,Marvel Stadium,24615,Western Bulldogs,Carlton,-37.8166,144.9475
2012R1702,2012,R17,Melbourne Cricket Ground,83714,Collingwood,Hawthorn,-37.82,144.9834
2012R1705,2012,R17,TIO Stadium,6714,Melbourne,Port Adelaide,-12.3988,130.8853
2012R1709,2012,R17,Domain Stadium,28767,Fremantle,Greater Western Sydney,-31.94,115.825
2012R1708,2012,R17,Melbourne Cricket Ground,47432,Richmond,North Melbourne,-37.82,144.9834
2012R1707,2012,R17,Sydney Cricket Ground,26834,Sydney,St Kilda,-33.8915,151.2249
2012R1801,2012,R18,Marvel Stadium,44899,Essendon,Hawthorn,-37.8166,144.9475
2012R1806,2012,R18,Heritage Bank Stadium,11169,Gold Coast,Sydney,-28.0063,153.3671
2012R1803,2012,R18,Marvel Stadium,20816,North Melbourne,Melbourne,-37.8166,144.9475
2012R1802,2012,R18,GMHBA Stadium,18377,Geelong,Adelaide,-38.158,144.3547
2012R1805,2012,R18,Melbourne Cricket Ground,46013,Carlton,Richmond,-37.82,144.9834
2012R1804,2012,R18,GIANTS Stadium,8102,Greater Western Sydney,Collingwood,-33.8942,151.2293
2012R1807,2012,R18,AAMI Stadium,14583,Port Adelaide,Fremantle,-34.8747,138.4907
2012R1808,2012,R18,Marvel Stadium,23498,St Kilda,Western Bulldogs,-37.8166,144.9475
2012R1809,2012,R18,Domain Stadium,35767,West Coast,Brisbane Lions,-31.94,115.825
2012R1901,2012,R19,Melbourne Cricket Ground,65287,Hawthorn,Geelong,-37.82,144.9834
2012R1902,2012,R19,Marvel Stadium,21599,Western Bulldogs,North Melbourne,-37.8166,144.9475
2012R1904,2012,R19,Domain Stadium,39694,Fremantle,West Coast,-31.94,115.825
2012R1906,2012,R19,The Gabba,22193,Brisbane Lions,Richmond,-27.4858,153.0381
2012R1905,2012,R19,Melbourne Cricket Ground,57873,Collingwood,St Kilda,-37.82,144.9834
2012R1903,2012,R19,GIANTS Stadium,6811,Greater Western Sydney,Port Adelaide,-33.8942,151.2293
2012R1909,2012,R19,AAMI Stadium,40030,Adelaide,Essendon,-34.8747,138.4907
2012R1908,2012,R19,Marvel Stadium,36942,Carlton,Sydney,-37.8166,144.9475
2012R1907,2012,R19,Melbourne Cricket Ground,18097,Melbourne,Gold Coast,-37.82,144.9834
2012R2001,2012,R20,Domain Stadium,37812,West Coast,Geelong,-31.94,115.825
2012R2003,2012,R20,AAMI Stadium,35027,Adelaide,Fremantle,-34.8747,138.4907
2012R2006,2012,R20,Accor Stadium,45827,Sydney,Collingwood,-33.8471,151.0634
2012R2004,2012,R20,Heritage Bank Stadium,14657,Gold Coast,Greater Western Sydney,-28.0063,153.3671
2012R2005,2012,R20,Marvel Stadium,25977,Carlton,Brisbane Lions,-37.8166,144.9475
2012R2002,2012,R20,Melbourne Cricket Ground,23464,St Kilda,Melbourne,-37.82,144.9834
2012R2009,2012,R20,Marvel Stadium,42674,Essendon,North Melbourne,-37.8166,144.9475
2012R2008,2012,R20,Melbourne Cricket Ground,28286,Richmond,Western Bulldogs,-37.82,144.9834
2012R2007,2012,R20,University of Tasmania Stadium,14431,Hawthorn,Port Adelaide,-41.426,147.139
2012R2101,2012,R21,Marvel Stadium,38169,Geelong,St Kilda,-37.8166,144.9475
2012R2106,2012,R21,Marvel Stadium,44956,Collingwood,North Melbourne,-37.8166,144.9475
2012R2104,2012,R21,Domain Stadium,32721,Fremantle,Richmond,-31.94,115.825
2012R2105,2012,R21,The Gabba,18979,Brisbane Lions,Adelaide,-27.4858,153.0381
2012R2102,2012,R21,Melbourne Cricket Ground,59381,Essendon,Carlton,-37.82,144.9834
2012R2103,2012,R21,Manuka Oval,7561,Greater Western Sydney,Melbourne,-35.3181,149.1347
2012R2107,2012,R21,AAMI Stadium,13683,Port Adelaide,West Coast,-34.8747,138.4907
2012R2108,2012,R21,Marvel Stadium,19396,Western Bulldogs,Sydney,-37.8166,144.9475
2012R2109,2012,R21,Melbourne Cricket Ground,23098,Hawthorn,Gold Coast,-37.82,144.9834
2012R2201,2012,R22,Melbourne Cricket Ground,47590,Richmond,Essendon,-37.82,144.9834
2012R2203,2012,R22,AAMI Stadium,13953,Port Adelaide,Brisbane Lions,-34.8747,138.4907
2012R2206,2012,R22,Heritage Bank Stadium,15251,Gold Coast,Carlton,-28.0063,153.3671
2012R2202,2012,R22,Marvel Stadium,17327,St Kilda,Greater Western Sydney,-37.8166,144.9475
2012R2205,2012,R22,Domain Stadium,40527,West Coast,Collingwood,-31.94,115.825
2012R2204,2012,R22,Sydney Cricket Ground,31167,Sydney,Hawthorn,-33.8915,151.2249
2012R2208,2012,R22,Marvel Stadium,26482,North Melbourne,Fremantle,-37.8166,144.9475
2012R2207,2012,R22,GMHBA Stadium,18047,Geelong,Western Bulldogs,-38.158,144.3547
2012R2209,2012,R22,Melbourne Cricket Ground,18450,Melbourne,Adelaide,-37.82,144.9834
2012R2301,2012,R23,Melbourne Cricket Ground,50023,Hawthorn,West Coast,-37.82,144.9834
2012R2303,2012,R23,AAMI Stadium,35463,Adelaide,Gold Coast,-34.8747,138.4907
2012R2305,2012,R23,Domain Stadium,32687,Fremantle,Melbourne,-31.94,115.825
2012R2302,2012,R23,GMHBA Stadium,20045,Geelong,Sydney,-38.158,144.3547
2012R2306,2012,R23,Melbourne Cricket Ground,56491,Essendon,Collingwood,-37.82,144.9834
2012R2304,2012,R23,GIANTS Stadium,6696,Greater Western Sydney,North Melbourne,-33.8942,151.2293
2012R2307,2012,R23,Marvel Stadium,31393,Carlton,St Kilda,-37.8166,144.9475
2012R2309,2012,R23,The Gabba,18289,Brisbane Lions,Western Bulldogs,-27.4858,153.0381
2012R2308,2012,R23,Melbourne Cricket Ground,27893,Richmond,Port Adelaide,-37.82,144.9834
2012QF01,2012,QF,Melbourne Cricket Ground,85639,Hawthorn,Collingwood,-37.82,144.9834
2012QF02,2012,QF,AAMI Stadium,44849,Adelaide,Sydney,-34.8747,138.4907
2012EF01,2012,EF,Melbourne Cricket Ground,44460,Geelong,Fremantle,-37.82,144.9834
2012EF02,2012,EF,Domain Stadium,41790,West Coast,North Melbourne,-31.94,115.825
2012SF01,2012,SF,AAMI Stadium,31742,Adelaide,Fremantle,-34.8747,138.4907
2012SF02,2012,SF,Melbourne Cricket Ground,65483,Collingwood,West Coast,-37.82,144.9834
2012PF01,2012,PF,Accor Stadium,57156,Sydney,Collingwood,-33.8471,151.0634
2012PF02,2012,PF,Melbourne Cricket Ground,69146,Hawthorn,Adelaide,-37.82,144.9834
2012GF01,2012,GF,Melbourne Cricket Ground,99683,Hawthorn,Sydney,-37.82,144.9834
2013R101,2013,R1,AAMI Stadium,42218,Adelaide,Essendon,-34.8747,138.4907
2013R102,2013,R1,Domain Stadium,39629,Fremantle,West Coast,-31.94,115.825
2013R103,2013,R1,Melbourne Cricket Ground,80971,Carlton,Richmond,-37.82,144.9834
2013R105,2013,R1,Accor Stadium,23690,Greater Western Sydney,Sydney,-33.8471,151.0634
2013R106,2013,R1,Heritage Bank Stadium,13832,Gold Coast,St Kilda,-28.0063,153.3671
2013R104,2013,R1,Marvel Stadium,25263,Western Bulldogs,Brisbane Lions,-37.8166,144.9475
2013R108,2013,R1,Marvel Stadium,41040,North Melbourne,Collingwood,-37.8166,144.9475
2013R107,2013,R1,Melbourne Cricket Ground,22924,Melbourne,Port Adelaide,-37.82,144.9834
2013R109,2013,R1,Melbourne Cricket Ground,76300,Hawthorn,Geelong,-37.82,144.9834
2013R201,2013,R2,Melbourne Cricket Ground,56783,St Kilda,Richmond,-37.82,144.9834
2013R205,2013,R2,AAMI Stadium,25122,Port Adelaide,Greater Western Sydney,-34.8747,138.4907
2013R203,2013,R2,Marvel Stadium,19210,Western Bulldogs,Fremantle,-37.8166,144.9475
2013R204,2013,R2,The Gabba,21308,Brisbane Lions,Adelaide,-27.4858,153.0381
2013R206,2013,R2,Melbourne Cricket Ground,51153,Essendon,Melbourne,-37.82,144.9834
2013R202,2013,R2,Sydney Cricket Ground,20372,Sydney,Gold Coast,-33.8915,151.2249
2013R207,2013,R2,Marvel Stadium,34152,Geelong,North Melbourne,-37.8166,144.9475
2013R209,2013,R2,Domain Stadium,38389,West Coast,Hawthorn,-31.94,115.825
2013R208,2013,R2,Melbourne Cricket Ground,84247,Collingwood,Carlton,-37.82,144.9834
2013R301,2013,R3,Domain Stadium,35963,Fremantle,Essendon,-31.94,115.825
2013R302,2013,R3,Blundstone Arena,13223,North Melbourne,Sydney,-42.8773,147.374
2013R306,2013,R3,Heritage Bank Stadium,12961,Gold Coast,Brisbane Lions,-28.0063,153.3671
2013R305,2013,R3,Marvel Stadium,43241,Geelong,Carlton,-37.8166,144.9475
2013R303,2013,R3,Melbourne Cricket Ground,18571,Melbourne,West Coast,-37.82,144.9834
2013R304,2013,R3,Manuka Oval,11092,Greater Western Sydney,St Kilda,-35.3181,149.1347
2013R309,2013,R3,AAMI Stadium,40707,Port Adelaide,Adelaide,-34.8747,138.4907
2013R307,2013,R3,Marvel Stadium,44045,Richmond,Western Bulldogs,-37.8166,144.9475
2013R308,2013,R3,Melbourne Cricket Ground,72254,Collingwood,Hawthorn,-37.82,144.9834
2013R401,2013,R4,Sydney Cricket Ground,31060,Sydney,Geelong,-33.8915,151.2249
2013R406,2013,R4,Heritage Bank Stadium,11332,Gold Coast,Port Adelaide,-28.0063,153.3671
2013R404,2013,R4,Marvel Stadium,46965,St Kilda,Essendon,-37.8166,144.9475
2013R405,2013,R4,Domain Stadium,38674,West Coast,Carlton,-31.94,115.825
2013R403,2013,R4,Melbourne Cricket Ground,81950,Richmond,Collingwood,-37.82,144.9834
2013R402,2013,R4,University of Tasmania Stadium,12619,Hawthorn,Fremantle,-41.426,147.139
2013R408,2013,R4,AAMI Stadium,24684,Adelaide,Western Bulldogs,-34.8747,138.4907
2013R409,2013,R4,Marvel Stadium,22776,North Melbourne,Brisbane Lions,-37.8166,144.9475
2013R407,2013,R4,Melbourne Cricket Ground,20018,Melbourne,Greater Western Sydney,-37.82,144.9834
2013R501,2013,R5,Melbourne Cricket Ground,93373,Essendon,Collingwood,-37.82,144.9834
2013R503,2013,R5,Domain Stadium,36365,Fremantle,Richmond,-31.94,115.825
2013R507,2013,R5,AAMI Stadium,26132,Port Adelaide,West Coast,-34.8747,138.4907
2013R506,2013,R5,Marvel Stadium,26153,Western Bulldogs,Geelong,-37.8166,144.9475
2013R505,2013,R5,Melbourne Cricket Ground,44711,Carlton,Adelaide,-37.82,144.9834
2013R504,2013,R5,Manuka Oval,6832,Greater Western Sydney,Gold Coast,-35.3181,149.1347
2013R508,2013,R5,The Gabba,19018,Brisbane Lions,Melbourne,-27.4858,153.0381
2013R509,2013,R5,Melbourne Cricket Ground,42103,Hawthorn,North Melbourne,-37.82,144.9834
2013R601,2013,R6,Marvel Stadium,40071,Collingwood,St Kilda,-37.8166,144.9475
2013R604,2013,R6,AAMI Stadium,37324,Adelaide,Hawthorn,-34.8747,138.4907
2013R603,2013,R6,Blundstone Arena,10265,North Melbourne,Port Adelaide,-42.8773,147.374
2013R605,2013,R6,Heritage Bank Stadium,10552,Gold Coast,Fremantle,-28.0063,153.3671
2013R602,2013,R6,Marvel Stadium,30143,Essendon,Greater Western Sydney,-37.8166,144.9475
2013R606,2013,R6,Melbourne Cricket Ground,55625,Richmond,Geelong,-37.82,144.9834
2013R609,2013,R6,Domain Stadium,36163,West Coast,Western Bulldogs,-31.94,115.825
2013R608,2013,R6,Melbourne Cricket Ground,35286,Carlton,Melbourne,-37.82,144.9834
2013R607,2013,R6,Sydney Cricket Ground,23315,Sydney,Brisbane Lions,-33.8915,151.2249
2013R701,2013,R7,Marvel Stadium,53014,Geelong,Essendon,-37.8166,144.9475
2013R702,2013,R7,AAMI Stadium,25372,Port Adelaide,Richmond,-34.8747,138.4907
2013R704,2013,R7,Marvel Stadium,23690,Western Bulldogs,North Melbourne,-37.8166,144.9475
2013R705,2013,R7,Domain Stadium,37214,Fremantle,Collingwood,-31.94,115.825
2013R703,2013,R7,The Gabba,17614,Brisbane Lions,West Coast,-27.4858,153.0381
2013R706,2013,R7,Melbourne Cricket Ground,54725,Hawthorn,Sydney,-37.82,144.9834
2013R708,2013,R7,Melbourne Cricket Ground,13304,Melbourne,Gold Coast,-37.82,144.9834
2013R707,2013,R7,GIANTS Stadium,5830,Greater Western Sydney,Adelaide,-33.8942,151.2293
2013R709,2013,R7,Marvel Stadium,34054,St Kilda,Carlton,-37.8166,144.9475
2013R801,2013,R8,Domain Stadium,38146,West Coast,North Melbourne,-31.94,115.825
2013R804,2013,R8,Heritage Bank Stadium,13520,Gold Coast,Western Bulldogs,-28.0063,153.3671
2013R802,2013,R8,Marvel Stadium,33915,Essendon,Brisbane Lions,-37.8166,144.9475
2013R805,2013,R8,Melbourne Cricket Ground,66768,Collingwood,Geelong,-37.82,144.9834
2013R806,2013,R8,Sydney Cricket Ground,22546,Sydney,Fremantle,-33.8915,151.2249
2013R803,2013,R8,University of Tasmania Stadium,10513,Hawthorn,Greater Western Sydney,-41.426,147.139
2013R809,2013,R8,AAMI Stadium,34605,Adelaide,St Kilda,-34.8747,138.4907
2013R807,2013,R8,Marvel Stadium,29936,Carlton,Port Adelaide,-37.8166,144.9475
2013R808,2013,R8,Melbourne Cricket Ground,39148,Richmond,Melbourne,-37.82,144.9834
2013R901,2013,R9,Melbourne Cricket Ground,65306,Collingwood,Sydney,-37.82,144.9834
2013R902,2013,R9,AAMI Stadium,21309,Port Adelaide,Geelong,-34.8747,138.4907
2013R904,2013,R9,Marvel Stadium,25982,St Kilda,Western Bulldogs,-37.8166,144.9475
2013R905,2013,R9,The Gabba,24037,Brisbane Lions,Carlton,-27.4858,153.0381
2013R906,2013,R9,Melbourne Cricket Ground,84234,Richmond,Essendon,-37.82,144.9834
2013R903,2013,R9,GIANTS Stadium,6324,Greater Western Sydney,West Coast,-33.8942,151.2293
2013R908,2013,R9,Marvel Stadium,23033,North Melbourne,Adelaide,-37.8166,144.9475
2013R909,2013,R9,Domain Stadium,32950,Fremantle,Melbourne,-31.94,115.825
2013R907,2013,R9,Melbourne Cricket Ground,28112,Hawthorn,Gold Coast,-37.82,144.9834
2013R1001,2013,R10,The Gabba,26626,Brisbane Lions,Collingwood,-27.4858,153.0381
2013R1003,2013,R10,AAMI Stadium,27684,Adelaide,Fremantle,-34.8747,138.4907
2013R1002,2013,R10,Marvel Stadium,25008,Carlton,Greater Western Sydney,-37.8166,144.9475
2013R1006,2013,R10,GMHBA Stadium,30087,Geelong,Gold Coast,-38.158,144.3547
